Cipher,Status,Value
TLS_DH_DSS_WITH_AES_256_GCM_SHA384,Weak,165
TLS_DH_DSS_WITH_ARIA_128_CBC_SHA256,Weak,49214
TLS_DH_DSS_WITH_ARIA_128_GCM_SHA256,Weak,49240
TLS_DH_DSS_WITH_ARIA_256_CBC_SHA384,Weak,49215
TLS_DH_DSS_WITH_ARIA_256_GCM_SHA384,Weak,49241
TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA,Weak,66
TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA256,Weak,187
TLS_DH_DSS_WITH_CAMELLIA_128_GCM_SHA256,Weak,49282
TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA,Weak,133
TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA256,Weak,193
TLS_DH_DSS_WITH_CAMELLIA_256_GCM_SHA384,Weak,49283
TLS_DH_DSS_WITH_SEED_CBC_SHA,Weak,151
TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA,Weak,19
TLS_DHE_DSS_WITH_AES_128_CBC_SHA,Weak,50
TLS_DHE_DSS_WITH_AES_128_CBC_SHA256,Weak,64
TLS_DHE_DSS_WITH_AES_256_CBC_SHA,Weak,56
TLS_DHE_DSS_WITH_AES_256_CBC_SHA256,Weak,106
TLS_DHE_DSS_WITH_ARIA_128_CBC_SHA256,Weak,49218
TLS_DHE_DSS_WITH_ARIA_256_CBC_SHA384,Weak,49219
TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA,Weak,68
TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA256,Weak,189
TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA,Weak,135
TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA256,Weak,195
TLS_DHE_DSS_WITH_SEED_CBC_SHA,Weak,153
TLS_DHE_PSK_WITH_3DES_EDE_CBC_SHA,Weak,143
TLS_DHE_PSK_WITH_AES_128_CBC_SHA,Weak,144
TLS_DHE_PSK_WITH_AES_128_CBC_SHA256,Weak,178
TLS_DHE_PSK_WITH_AES_256_CBC_SHA,Weak,145
TLS_DHE_PSK_WITH_AES_256_CBC_SHA384,Weak,179
TLS_DHE_PSK_WITH_ARIA_128_CBC_SHA256,Weak,49254
TLS_DHE_PSK_WITH_ARIA_256_CBC_SHA384,Weak,49255
TLS_DHE_PSK_WITH_CAMELLIA_128_CBC_SHA256,Weak,49302
TLS_DHE_PSK_WITH_CAMELLIA_256_CBC_SHA384,Weak,49303
TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA,Weak,22
TLS_DHE_RSA_WITH_AES_128_CBC_SHA,Weak,51
TLS_DHE_RSA_WITH_AES_128_CBC_SHA256,Weak,103
TLS_DHE_RSA_WITH_AES_256_CBC_SHA,Weak,57
TLS_DHE_RSA_WITH_AES_256_CBC_SHA256,Weak,107
TLS_DHE_RSA_WITH_ARIA_128_CBC_SHA256,Weak,49220
TLS_DHE_RSA_WITH_ARIA_256_CBC_SHA384,Weak,49221
TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA,Weak,69
TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256,Weak,190
TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA,Weak,136
TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256,Weak,196
TLS_DHE_RSA_WITH_SEED_CBC_SHA,Weak,154
TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA,Weak,16
TLS_DH_RSA_WITH_AES_128_CBC_SHA,Weak,49
TLS_DH_RSA_WITH_AES_128_CBC_SHA256,Weak,63
TLS_DH_RSA_WITH_AES_128_GCM_SHA256,Weak,160
TLS_DH_RSA_WITH_AES_256_CBC_SHA,Weak,55
TLS_DH_RSA_WITH_AES_256_CBC_SHA256,Weak,105
TLS_DH_RSA_WITH_AES_256_GCM_SHA384,Weak,161
TLS_DH_RSA_WITH_ARIA_128_CBC_SHA256,Weak,49216
TLS_DH_RSA_WITH_ARIA_128_GCM_SHA256,Weak,49236
TLS_DH_RSA_WITH_ARIA_256_CBC_SHA384,Weak,49217
TLS_DH_RSA_WITH_ARIA_256_GCM_SHA384,Weak,49237
TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA,Weak,67
TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA256,Weak,188
TLS_DH_RSA_WITH_CAMELLIA_128_GCM_SHA256,Weak,49278
TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA,Weak,134
TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA256,Weak,194
TLS_DH_RSA_WITH_CAMELLIA_256_GCM_SHA384,Weak,49279
TLS_DH_RSA_WITH_SEED_CBC_SHA,Weak,152
TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA,Weak,49155
TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA,Weak,49156
TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256,Weak,49189
TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256,Weak,49197
TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA,Weak,49157
TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384,Weak,49190
TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384,Weak,49198
TLS_ECDH_ECDSA_WITH_ARIA_128_CBC_SHA256,Weak,49226
TLS_ECDH_ECDSA_WITH_ARIA_128_GCM_SHA256,Weak,49246
TLS_ECDH_ECDSA_WITH_ARIA_256_CBC_SHA384,Weak,49227
TLS_ECDH_ECDSA_WITH_ARIA_256_GCM_SHA384,Weak,49247
TLS_ECDH_ECDSA_WITH_CAMELLIA_128_CBC_SHA256,Weak,49268
TLS_ECDH_ECDSA_WITH_CAMELLIA_128_GCM_SHA256,Weak,49288
TLS_ECDH_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,Weak,49269
TLS_ECDH_ECDSA_WITH_CAMELLIA_256_GCM_SHA384,Weak,49289
TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA,Weak,49160
TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,Weak,49161
TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,Weak,49187
TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,Weak,49162
TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,Weak,49188
TLS_ECDHE_ECDSA_WITH_ARIA_128_CBC_SHA256,Weak,49224
TLS_ECDHE_ECDSA_WITH_ARIA_256_CBC_SHA384,Weak,49225
TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_CBC_SHA256,Weak,49266
TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,Weak,49267
TLS_ECDHE_PSK_WITH_3DES_EDE_CBC_SHA,Weak,49204
TLS_ECDHE_PSK_WITH_AES_128_CBC_SHA,Weak,49205
TLS_ECDHE_PSK_WITH_AES_128_CBC_SHA256,Weak,49207
TLS_ECDHE_PSK_WITH_AES_256_CBC_SHA,Weak,49206
TLS_ECDHE_PSK_WITH_AES_256_CBC_SHA384,Weak,49208
TLS_ECDHE_PSK_WITH_ARIA_128_CBC_SHA256,Weak,49264
TLS_ECDHE_PSK_WITH_ARIA_256_CBC_SHA384,Weak,49265
TLS_ECDHE_PSK_WITH_CAMELLIA_128_CBC_SHA256,Weak,49306
TLS_ECDHE_PSK_WITH_CAMELLIA_256_CBC_SHA384,Weak,49307
TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,Weak,49170
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,Weak,49171
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,Weak,49191
TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,Weak,49172
TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,Weak,49192
TLS_ECDHE_RSA_WITH_ARIA_128_CBC_SHA256,Weak,49228
TLS_ECDHE_RSA_WITH_ARIA_256_CBC_SHA384,Weak,49229
TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256,Weak,49270
TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384,Weak,49271
TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA,Weak,49165
TLS_ECDH_RSA_WITH_AES_128_CBC_SHA,Weak,49166
TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256,Weak,49193
TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256,Weak,49201
TLS_ECDH_RSA_WITH_AES_256_CBC_SHA,Weak,49167
TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384,Weak,49194
TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384,Weak,49202
TLS_ECDH_RSA_WITH_ARIA_128_CBC_SHA256,Weak,49230
TLS_ECDH_RSA_WITH_ARIA_128_GCM_SHA256,Weak,49250
TLS_ECDH_RSA_WITH_ARIA_256_CBC_SHA384,Weak,49231
TLS_ECDH_RSA_WITH_ARIA_256_GCM_SHA384,Weak,49251
TLS_ECDH_RSA_WITH_CAMELLIA_128_CBC_SHA256,Weak,49272
TLS_ECDH_RSA_WITH_CAMELLIA_128_GCM_SHA256,Weak,49292
TLS_ECDH_RSA_WITH_CAMELLIA_256_CBC_SHA384,Weak,49273
TLS_ECDH_RSA_WITH_CAMELLIA_256_GCM_SHA384,Weak,49293
TLS_KRB5_WITH_3DES_EDE_CBC_SHA,Weak,31
TLS_KRB5_WITH_IDEA_CBC_SHA,Weak,33
TLS_PSK_DHE_WITH_AES_128_CCM_8,Weak,49322
TLS_PSK_DHE_WITH_AES_256_CCM_8,Weak,49323
TLS_PSK_WITH_3DES_EDE_CBC_SHA,Weak,139
TLS_PSK_WITH_AES_128_CBC_SHA,Weak,140
TLS_PSK_WITH_AES_128_CBC_SHA256,Weak,174
TLS_PSK_WITH_AES_128_CCM,Weak,49316
TLS_PSK_WITH_AES_128_CCM_8,Weak,49320
TLS_PSK_WITH_AES_128_GCM_SHA256,Weak,168
TLS_PSK_WITH_AES_256_CBC_SHA,Weak,141
TLS_PSK_WITH_AES_256_CBC_SHA384,Weak,175
TLS_PSK_WITH_AES_256_CCM,Weak,49317
TLS_PSK_WITH_AES_256_CCM_8,Weak,49321
TLS_PSK_WITH_AES_256_GCM_SHA384,Weak,169
TLS_PSK_WITH_ARIA_128_CBC_SHA256,Weak,49252
TLS_PSK_WITH_ARIA_128_GCM_SHA256,Weak,49258
TLS_PSK_WITH_ARIA_256_CBC_SHA384,Weak,49253
TLS_PSK_WITH_ARIA_256_GCM_SHA384,Weak,49259
TLS_PSK_WITH_CAMELLIA_128_CBC_SHA256,Weak,49300
TLS_PSK_WITH_CAMELLIA_128_GCM_SHA256,Weak,49294
TLS_PSK_WITH_CAMELLIA_256_CBC_SHA384,Weak,49301
TLS_PSK_WITH_CAMELLIA_256_GCM_SHA384,Weak,49295
TLS_PSK_WITH_CHACHA20_POLY1305_SHA256,Weak,52395
TLS_RSA_PSK_WITH_3DES_EDE_CBC_SHA,Weak,147
TLS_RSA_PSK_WITH_AES_128_CBC_SHA,Weak,148
TLS_RSA_PSK_WITH_AES_128_CBC_SHA256,Weak,182
TLS_RSA_PSK_WITH_AES_128_GCM_SHA256,Weak,172
TLS_RSA_PSK_WITH_AES_256_CBC_SHA,Weak,149
TLS_RSA_PSK_WITH_AES_256_CBC_SHA384,Weak,183
TLS_RSA_PSK_WITH_AES_256_GCM_SHA384,Weak,173
TLS_RSA_PSK_WITH_ARIA_128_CBC_SHA256,Weak,49256
TLS_RSA_PSK_WITH_ARIA_128_GCM_SHA256,Weak,49262
TLS_RSA_PSK_WITH_ARIA_256_CBC_SHA384,Weak,49257
TLS_RSA_PSK_WITH_ARIA_256_GCM_SHA384,Weak,49263
TLS_RSA_PSK_WITH_CAMELLIA_128_CBC_SHA256,Weak,49304
TLS_RSA_PSK_WITH_CAMELLIA_128_GCM_SHA256,Weak,49298
TLS_RSA_PSK_WITH_CAMELLIA_256_CBC_SHA384,Weak,49305
TLS_RSA_PSK_WITH_CAMELLIA_256_GCM_SHA384,Weak,49299
TLS_RSA_PSK_WITH_CHACHA20_POLY1305_SHA256,Weak,52398
TLS_RSA_WITH_3DES_EDE_CBC_SHA,Weak,10
TLS_RSA_WITH_AES_128_CBC_SHA,Weak,47
TLS_RSA_WITH_AES_128_CBC_SHA256,Weak,60
TLS_RSA_WITH_AES_128_CCM,Weak,49308
TLS_RSA_WITH_AES_128_CCM_8,Weak,49312
TLS_RSA_WITH_AES_128_GCM_SHA256,Weak,156
TLS_RSA_WITH_AES_256_CBC_SHA,Weak,53
TLS_RSA_WITH_AES_256_CBC_SHA256,Weak,61
TLS_RSA_WITH_AES_256_CCM,Weak,49309
TLS_RSA_WITH_AES_256_CCM_8,Weak,49313
TLS_RSA_WITH_AES_256_GCM_SHA384,Weak,157
TLS_RSA_WITH_ARIA_128_CBC_SHA256,Weak,49212
TLS_RSA_WITH_ARIA_128_GCM_SHA256,Weak,49232
TLS_RSA_WITH_ARIA_256_CBC_SHA384,Weak,49213
TLS_RSA_WITH_ARIA_256_GCM_SHA384,Weak,49233
TLS_RSA_WITH_CAMELLIA_128_CBC_SHA,Weak,65
TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256,Weak,186
TLS_RSA_WITH_CAMELLIA_128_GCM_SHA256,Weak,49274
TLS_RSA_WITH_CAMELLIA_256_CBC_SHA,Weak,132
TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256,Weak,192
TLS_RSA_WITH_CAMELLIA_256_GCM_SHA384,Weak,49275
TLS_RSA_WITH_IDEA_CBC_SHA,Weak,7
TLS_RSA_WITH_SEED_CBC_SHA,Weak,150
TLS_SRP_SHA_DSS_WITH_3DES_EDE_CBC_SHA,Weak,49180
TLS_SRP_SHA_DSS_WITH_AES_128_CBC_SHA,Weak,49183
TLS_SRP_SHA_DSS_WITH_AES_256_CBC_SHA,Weak,49186
TLS_SRP_SHA_RSA_WITH_3DES_EDE_CBC_SHA,Weak,49179
TLS_SRP_SHA_RSA_WITH_AES_128_CBC_SHA,Weak,49182
TLS_SRP_SHA_RSA_WITH_AES_256_CBC_SHA,Weak,49185
TLS_SRP_SHA_WITH_3DES_EDE_CBC_SHA,Weak,49178
TLS_SRP_SHA_WITH_AES_128_CBC_SHA,Weak,49181
TLS_SRP_SHA_WITH_AES_256_CBC_SHA,Weak,49184
TLS_DH_anon_EXPORT_WITH_DES40_CBC_SHA,Insecure,25
TLS_DH_anon_EXPORT_WITH_RC4_40_MD5,Insecure,23
TLS_DH_anon_WITH_3DES_EDE_CBC_SHA,Insecure,27
TLS_DH_anon_WITH_AES_128_CBC_SHA,Insecure,52
TLS_DH_anon_WITH_AES_128_CBC_SHA256,Insecure,108
TLS_DH_anon_WITH_AES_128_GCM_SHA256,Insecure,166
TLS_DH_anon_WITH_AES_256_CBC_SHA,Insecure,58
TLS_DH_anon_WITH_AES_256_CBC_SHA256,Insecure,109
TLS_DH_anon_WITH_AES_256_GCM_SHA384,Insecure,167
TLS_DH_anon_WITH_ARIA_128_CBC_SHA256,Insecure,49222
TLS_DH_anon_WITH_ARIA_128_GCM_SHA256,Insecure,49242
TLS_DH_anon_WITH_ARIA_256_CBC_SHA384,Insecure,49223
TLS_DH_anon_WITH_ARIA_256_GCM_SHA384,Insecure,49243
TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA,Insecure,70
TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA256,Insecure,191
TLS_DH_anon_WITH_CAMELLIA_128_GCM_SHA256,Insecure,49284
TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA,Insecure,137
TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA256,Insecure,197
TLS_DH_anon_WITH_CAMELLIA_256_GCM_SHA384,Insecure,49285
TLS_DH_anon_WITH_DES_CBC_SHA,Insecure,26
TLS_DH_anon_WITH_RC4_128_MD5,Insecure,24
TLS_DH_anon_WITH_SEED_CBC_SHA,Insecure,155
TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA,Insecure,11
TLS_DH_DSS_WITH_DES_CBC_SHA,Insecure,12
TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA,Insecure,17
TLS_DHE_DSS_WITH_DES_CBC_SHA,Insecure,18
TLS_DHE_PSK_WITH_NULL_SHA,Insecure,45
TLS_DHE_PSK_WITH_NULL_SHA256,Insecure,180
TLS_DHE_PSK_WITH_NULL_SHA384,Insecure,181
TLS_DHE_PSK_WITH_RC4_128_SHA,Insecure,142
TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA,Insecure,20
TLS_DHE_RSA_WITH_DES_CBC_SHA,Insecure,21
TLS_DH_RSA_EXPORT_WITH_DES40_CBC_SHA,Insecure,14
TLS_DH_RSA_WITH_DES_CBC_SHA,Insecure,15
TLS_ECDH_anon_WITH_3DES_EDE_CBC_SHA,Insecure,49175
TLS_ECDH_anon_WITH_AES_128_CBC_SHA,Insecure,49176
TLS_ECDH_anon_WITH_AES_256_CBC_SHA,Insecure,49177
TLS_ECDH_anon_WITH_NULL_SHA,Insecure,49173
TLS_ECDH_anon_WITH_RC4_128_SHA,Insecure,49174
TLS_ECDH_ECDSA_WITH_NULL_SHA,Insecure,49153
TLS_ECDH_ECDSA_WITH_RC4_128_SHA,Insecure,49154
TLS_ECDHE_ECDSA_WITH_NULL_SHA,Insecure,49158
TLS_ECDHE_ECDSA_WITH_RC4_128_SHA,Insecure,49159
TLS_ECDHE_PSK_WITH_NULL_SHA,Insecure,49209
TLS_ECDHE_PSK_WITH_NULL_SHA256,Insecure,49210
TLS_ECDHE_PSK_WITH_NULL_SHA384,Insecure,49211
TLS_ECDHE_PSK_WITH_RC4_128_SHA,Insecure,49203
TLS_ECDHE_RSA_WITH_NULL_SHA,Insecure,49168
TLS_ECDHE_RSA_WITH_RC4_128_SHA,Insecure,49169
TLS_ECDH_RSA_WITH_NULL_SHA,Insecure,49163
TLS_ECDH_RSA_WITH_RC4_128_SHA,Insecure,49164
TLS_KRB5_EXPORT_WITH_DES_CBC_40_MD5,Insecure,41
TLS_KRB5_EXPORT_WITH_DES_CBC_40_SHA,Insecure,38
TLS_KRB5_EXPORT_WITH_RC2_CBC_40_MD5,Insecure,42
TLS_KRB5_EXPORT_WITH_RC2_CBC_40_SHA,Insecure,39
TLS_KRB5_EXPORT_WITH_RC4_40_MD5,Insecure,43
TLS_KRB5_EXPORT_WITH_RC4_40_SHA,Insecure,40
TLS_KRB5_WITH_3DES_EDE_CBC_MD5,Insecure,35
TLS_KRB5_WITH_DES_CBC_MD5,Insecure,34
TLS_KRB5_WITH_DES_CBC_SHA,Insecure,30
TLS_KRB5_WITH_IDEA_CBC_MD5,Insecure,37
TLS_KRB5_WITH_RC4_128_MD5,Insecure,36
TLS_KRB5_WITH_RC4_128_SHA,Insecure,32
TLS_NULL_WITH_NULL_NULL,Insecure,0
TLS_PSK_WITH_NULL_SHA,Insecure,44
TLS_PSK_WITH_NULL_SHA256,Insecure,176
TLS_PSK_WITH_NULL_SHA384,Insecure,177
TLS_PSK_WITH_RC4_128_SHA,Insecure,138
TLS_RSA_EXPORT_WITH_DES40_CBC_SHA,Insecure,8
TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5,Insecure,6
TLS_RSA_EXPORT_WITH_RC4_40_MD5,Insecure,3
TLS_RSA_PSK_WITH_NULL_SHA,Insecure,46
TLS_RSA_PSK_WITH_NULL_SHA256,Insecure,184
TLS_RSA_PSK_WITH_NULL_SHA384,Insecure,185
TLS_RSA_PSK_WITH_RC4_128_SHA,Insecure,146
TLS_RSA_WITH_DES_CBC_SHA,Insecure,9
TLS_RSA_WITH_NULL_MD5,Insecure,1
TLS_RSA_WITH_NULL_SHA,Insecure,2
TLS_RSA_WITH_NULL_SHA256,Insecure,59
TLS_RSA_WITH_RC4_128_MD5,Insecure,4
TLS_RSA_WITH_RC4_128_SHA,Insecure,5
TLS_SM4_CCM_SM3,Insecure,199
TLS_SM4_GCM_SM3,Insecure,198
